자전거번호,등록일시,고장구분
SPB-36049,2022-01-01 0:45,기타 
SPB-34190,2022-01-01 1:01,기타 
SPB-39295,2022-01-01 1:08,체인
SPB-32092,2022-01-01 1:55,기타 
SPB-31554,2022-01-01 2:01,체인
SPB-53253,2022-01-01 2:25,체인
SPB-53253,2022-01-01 2:25,기타 
SPB-52511,2022-01-01 2:41,체인
SPB-53613,2022-01-01 2:50,기타 
SPB-51294,2022-01-01 3:15,타이어 
SPB-33459,2022-01-01 4:54,기타 
SPB-53054,2022-01-01 6:28,타이어 
SPB-40100,2022-01-01 7:02,기타 
SPB-41304,2022-01-01 7:34,기타 
SPB-39982,2022-01-01 7:51,기타 
SPB-41120,2022-01-01 7:59,기타 
SPB-35898,2022-01-01 8:13,기타 
SPB-50728,2022-01-01 8:14,안장
SPB-33976,2022-01-01 8:20,기타 
SPB-54809,2022-01-01 8:26,체인
SPB-55737,2022-01-01 8:30,체인
SPB-38167,2022-01-01 8:38,기타 
SPB-34059,2022-01-01 8:45,체인
SPB-34059,2022-01-01 8:45,단말기
SPB-47485,2022-01-01 8:48,타이어 
SPB-47485,2022-01-01 8:48,체인
SPB-47485,2022-01-01 8:48,기타 
SPB-38363,2022-01-01 8:56,기타 
SPB-43082,2022-01-01 9:18,체인
SPB-42237,2022-01-01 9:33,기타 
SPB-32790,2022-01-01 9:38,기타 
SPB-31829,2022-01-01 9:48,기타 
SPB-51772,2022-01-01 9:49,단말기
SPB-46275,2022-01-01 10:41,안장
SPB-56293,2022-01-01 10:42,안장
SPB-56293,2022-01-01 10:42,기타 
SPB-52696,2022-01-01 10:43,타이어 
SPB-53715,2022-01-01 10:43,체인
SPB-41367,2022-01-01 10:50,안장
SPB-46638,2022-01-01 10:58,안장
SPB-33576,2022-01-01 11:02,체인
SPB-33576,2022-01-01 11:02,페달
SPB-33841,2022-01-01 11:21,체인
SPB-30138,2022-01-01 11:53,기타 
SPB-35730,2022-01-01 11:56,기타 
SPB-39811,2022-01-01 11:58,기타 
SPB-51630,2022-01-01 12:05,페달
SPB-31760,2022-01-01 12:21,체인
SPB-36973,2022-01-01 12:23,기타 
SPB-32637,2022-01-01 12:26,체인
SPB-36565,2022-01-01 12:43,체인
SPB-36565,2022-01-01 12:43,기타 
SPB-50057,2022-01-01 12:46,페달
SPB-47079,2022-01-01 12:47,페달
SPB-32996,2022-01-01 12:54,기타 
SPB-33039,2022-01-01 12:55,체인
SPB-32748,2022-01-01 12:58,기타 
SPB-57962,2022-01-01 13:05,기타 
SPB-50263,2022-01-01 13:06,기타 
SPB-54776,2022-01-01 13:14,페달
SPB-53368,2022-01-01 13:19,기타 
SPB-54863,2022-01-01 13:30,기타 
SPB-38984,2022-01-01 13:36,타이어 
SPB-52710,2022-01-01 14:09,타이어 
SPB-50151,2022-01-01 14:14,안장
SPB-33762,2022-01-01 14:15,체인
SPB-33762,2022-01-01 14:15,기타 
SPB-52219,2022-01-01 14:22,기타 
SPB-43514,2022-01-01 14:42,타이어 
SPB-43514,2022-01-01 14:42,체인
SPB-43514,2022-01-01 14:42,페달
SPB-38392,2022-01-01 14:47,안장
SPB-38392,2022-01-01 14:47,페달
SPB-38518,2022-01-01 15:09,기타 
SPB-44033,2022-01-01 15:10,페달
SPB-58507,2022-01-01 15:27,타이어 
SPB-51002,2022-01-01 15:33,타이어 
SPB-47642,2022-01-01 15:33,체인
SPB-49552,2022-01-01 15:36,단말기
SPB-45429,2022-01-01 15:39,안장
SPB-39997,2022-01-01 15:39,체인
SPB-58310,2022-01-01 15:40,체인
SPB-50771,2022-01-01 15:43,타이어 
SPB-42606,2022-01-01 15:58,타이어 
SPB-48728,2022-01-01 16:08,안장
SPB-38558,2022-01-01 16:17,타이어 
SPB-58629,2022-01-01 16:18,타이어 
SPB-34688,2022-01-01 16:24,안장
SPB-45192,2022-01-01 16:31,타이어 
SPB-42857,2022-01-01 16:33,안장
SPB-42516,2022-01-01 16:48,타이어 
SPB-30925,2022-01-01 17:03,기타 
SPB-55804,2022-01-01 17:09,단말기
SPB-38185,2022-01-01 17:10,체인
SPB-38185,2022-01-01 17:10,기타 
SPB-47859,2022-01-01 17:17,타이어 
SPB-83012,2022-01-01 17:22,타이어 
SPB-49138,2022-01-01 17:25,단말기
SPB-49138,2022-01-01 17:25,기타 
SPB-38758,2022-01-01 17:29,단말기
SPB-46872,2022-01-01 17:44,안장
SPB-46872,2022-01-01 17:44,기타 
SPB-32151,2022-01-01 17:52,체인
SPB-34041,2022-01-01 18:09,기타 
SPB-52754,2022-01-01 18:27,단말기
SPB-48968,2022-01-01 18:48,기타 
